neighborhood,cd,borough,area_km2,shooting_incident_count_2024,shooting_density_per_km2
QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS,20.341395861328706,2.0,0.09832166944856652
QN06 Forest Hills-Rego Park (CD 6 Approximation),QN06,QUEENS,7.260180630895078,0.0,0.0
QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS,30.631526701440414,5.0,0.16323051895956855
QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),QN08,QUEENS,18.770522349207024,4.0,0.21310008989541962
QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS,10.053837657195306,8.0,0.7957160512010635
QN10 South Ozone Park-Howard Beach (CD 10 Approximation),QN10,QUEENS,15.923350299824907,3.0,0.18840256249546855
QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),QN11,QUEENS,24.13534961292614,1.0,0.04143300246475117
QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS,24.69865373349759,27.0,1.0931769922091423
QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),QN13,QUEENS,32.82326571652661,13.0,0.3960605295119815
QN14 The Rockaways (CD 14 Approximation),QN14,QUEENS,17.571736821064764,18.0,1.0243722736856518
QN80 LaGuardia Airport (JIA 80 Approximation),QN80,QUEENS,2.842085180173605,0.0,0.0
QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),QN81,QUEENS,5.128968225666191,1.0,0.1949709875362139
QN82 Forest Park (JIA 82 Approximation),QN82,QUEENS,2.2305842649392544,0.0,0.0
QN83 JFK International Airport (JIA 83 Approximation),QN83,QUEENS,18.31952914966558,0.0,0.0
QN84 Jamaica Bay (East) (JIA 84 Approximation),QN84,QUEENS,11.385753885782723,0.0,0.0
SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND,35.05084301434401,10.0,0.28529984274294506
SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND,56.31497694136,1.0,0.017757265550180125
SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND,55.316182796696694,0.0,0.0
SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),SI95,STATEN ISLAND,4.157266993584571,0.0,0.0
