neighborhood,cd,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,borough,total_jobs,total_population_proxy,pct_hispanic,pct_black,pct_asian,nfh_median_income,nfh_poverty_rate,nfh_pct_white,nfh_pct_black,nfh_pct_asian,nfh_pct_hispanic,nfh_goal1_fin_services_score,nfh_goal2_goods_services_score,nfh_goal3_jobs_income_score,nfh_goal4_fin_shocks_score,nfh_goal5_build_assets_score,nfh_overall_score,nfh_goal1_fin_services_rank,nfh_goal2_goods_services_rank,nfh_goal3_jobs_income_rank,nfh_goal4_fin_shocks_rank,nfh_goal5_build_assets_rank,nfh_overall_rank
"Park Slope, Carroll Gardens & Red Hook",BK06,264.0,133.0,163.0,7933.0,20395.0,7306.0,461.0,3504.0,104652.0,66.69263791496708,71.0,BROOKLYN,560.0,35634.0,0.5723466352360106,0.22262445978559803,0.20502890497839144,57393,0.095,0.646,0.068,0.064,0.175,4.50545082,6.629636428,7.20065462,9.459732636,7.186998133,6.797665734,9,11,4,7,11,6
Sunset Park & Windsor Terrace,BK07,353.0,253.0,542.0,3840.0,62339.0,49164.0,424.0,3994.0,48232.0,62.85869674113724,27.0,BROOKLYN,1148.0,115343.0,0.5404662614983137,0.03329200731730578,0.4262417311843805,20787,0.294,0.223,0.026,0.324,0.412,2.312304195,3.307364481,2.170550249,2.136147505,4.802942182,2.098303992,34,34,44,43,31,42
Crown Heights North & Prospect Heights,BK08,71.0,37.0,63.0,75704.0,15506.0,4509.0,291.0,2053.0,45503.0,69.62384669978708,38.0,BROOKLYN,171.0,95719.0,0.16199500621611174,0.7908983587375548,0.04710663504633354,29895,0.214,0.213,0.593,0.037,0.122,0.0,1.482363408,3.955710823,4.212970636,4.551775555,2.233945623,55,53,21,29,35,39
"Crown Heights South, Prospect Lefferts & Wingate",BK09,29.0,13.0,14.0,73991.0,10702.0,1996.0,78.0,771.0,44329.0,67.77943244808472,29.0,BROOKLYN,56.0,86689.0,0.12345280254703596,0.8535223615452942,0.023024835907669947,26140,0.221,0.198,0.663,0.018,0.096,1.256320872,5.003916398,2.71796189,3.783192789,3.766236934,2.385528041,43,17,35,31,41,37
Bay Ridge & Dyker Heights,BK10,276.0,32.0,124.0,2012.0,19288.0,30042.0,304.0,2920.0,60863.0,52.31385164076295,40.0,BROOKLYN,432.0,51342.0,0.37567683378130967,0.03918818900705076,0.5851349772116395,30858,0.19,0.573,0.015,0.24,0.154,4.488325238,3.918961695,3.305963139,7.017550359,5.61676221,4.235343126,10,26,29,11,26,15
Bensonhurst & Bath Beach,BK11,628.0,162.0,466.0,1637.0,27200.0,73858.0,459.0,6457.0,51165.0,59.5666261156547,29.0,BROOKLYN,1256.0,102695.0,0.2648619699109012,0.015940406056770048,0.7191976240323288,23329,0.23,0.442,0.009,0.391,0.144,1.934661739,3.158381857,2.284918865,4.691388121,5.734567795,2.753829497,39,36,40,24,23,33
"Borough Park, Kensington & Ocean Parkway",BK12,515.0,171.0,414.0,4002.0,18102.0,22821.0,241.0,4917.0,42864.0,43.864175869542784,28.0,BROOKLYN,1100.0,44925.0,0.4029382303839733,0.08908180300500834,0.5079799666110184,21103,0.283,0.707,0.023,0.14,0.109,4.010612735,6.006805696,1.661410176,3.16913343,6.679622235,3.377282145,18,13,49,35,14,26
Brighton Beach & Coney Island,BK13,60.0,13.0,40.0,11850.0,16397.0,16547.0,55.0,735.0,34979.0,52.00605232331121,36.0,BROOKLYN,113.0,44794.0,0.3660534893066036,0.26454435861945796,0.36940215207393845,19345,0.24,0.575,0.106,0.145,0.15,2.979447799,2.785308465,2.090732369,5.783679059,4.822046989,2.88002545,28,43,46,20,30,29
Flatbush & Midwood,BK14,294.0,69.0,206.0,52055.0,24455.0,17290.0,308.0,4605.0,48169.0,60.63873425139174,36.0,BROOKLYN,569.0,93800.0,0.26071428571428573,0.5549573560767591,0.1843283582089552,25708,0.221,0.396,0.32,0.105,0.151,2.085338923,3.899849146,3.583589407,5.800719872,5.797313853,3.568859498,36,28,23,19,22,25
"Sheepshead Bay, Gerritsen Beach & Homecrest",BK15,344.0,66.0,240.0,5594.0,13760.0,24408.0,295.0,4893.0,54475.0,48.581735757498365,40.0,BROOKLYN,650.0,43762.0,0.31442804259403134,0.12782779580457931,0.5577441616013893,29307,0.194,0.691,0.038,0.159,0.091,4.423866077,3.813166308,4.059021282,6.048824082,6.521919549,4.469707603,13,32,18,16,16,14
Brownsville & Ocean Hill,BK16,55.0,18.0,27.0,91864.0,25850.0,1721.0,146.0,1289.0,28315.0,68.3723346478075,14.0,BROOKLYN,100.0,119435.0,0.21643571817306484,0.7691547703771926,0.014409511449742538,19274,0.282,0.021,0.742,0.015,0.211,0.146822672,2.883068302,0.175593681,2.245613272,3.591635552,0.614496873,52,41,54,40,43,52
"East Flatbush, Farragut & Rugby",BK17,50.0,20.0,44.0,121091.0,10216.0,1796.0,85.0,895.0,48094.0,63.98081455173101,22.0,BROOKLYN,114.0,133103.0,0.07675259009939671,0.9097541002081095,0.013493309692493783,27248,0.19,0.022,0.873,0.014,0.074,0.481582044,5.432465612,3.529226995,1.524973214,5.454276373,2.480958434,48,14,26,45,28,36
Canarsie & Flatlands,BK18,278.0,63.0,142.0,131897.0,16796.0,9077.0,216.0,2808.0,68145.0,47.585761909882784,30.0,BROOKLYN,483.0,157770.0,0.10645876909425113,0.8360081130759967,0.05753311782975217,32210,0.15,0.23,0.63,0.044,0.08,1.997908021,4.453672154,4.458754431,2.459296834,8.452839203,3.870718921,38,21,13,38,8,20
