neighborhood,cd,borough,area_km2,total_poi,unique_poi,category_diversity,num_retail,food,other,retail,ratio_retail,category_entropy,avg_pedestrian,peak_pedestrian,pedestrian_count_points,subway_station_count,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,total_jobs,total_population_proxy,pct_hispanic,pct_black,pct_asian,poi_density_per_km2,retail_density_per_km2,subway_density_per_km2,commercial_activity_score,transit_activity_score
BX28 Pelham Bay Park (JIA 28 Approximation),BX28,BRONX,99.28176910470754,5.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,-0.0,2913.264425594739,9538.568181818182,0.0,0.0,,,,,,,,,,,,,,,,,0.0503617133849292,0.0,0.0,0.0,0.0
MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN,44.79821341152632,1164.0,1038.0,3.0,278.0,193.0,757.0,214.0,0.23883161512027493,0.889131325434452,4996.2883804536295,19725.0,7.0,16.0,303.0,262.0,727.0,3518.0,10877.0,24407.0,1844.0,18626.0,124389.0,49378.0,83.0,1292.0,38802.0,0.2803206020308231,0.09066542961703,0.6290139683521468,25.983179045718586,6.2056046174482535,0.3571571002847916,5815679.674848025,79940.61408725807
MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN,37.93655011152966,1863.0,1745.0,3.0,344.0,449.0,1148.0,266.0,0.1846484165324745,0.9192000506929016,4971.496251490287,19584.0,3.0,13.0,,,,,,,,,,,,,,,,,49.108313605822524,9.067772345895301,0.3426774433041829,9261897.516526405,64629.451269373734
MN03 Lower East Side-Chinatown (CD 3 Equivalent),MN03,MANHATTAN,46.9965880029275,1919.0,1851.0,3.0,404.0,429.0,1182.0,308.0,0.21052631578947367,0.9270205427133571,2814.13793814433,7481.0,2.0,6.0,194.0,116.0,325.0,12538.0,40010.0,49433.0,1416.0,8573.0,42223.0,41553.0,43.0,635.0,101981.0,0.3923279826634373,0.1229444700483423,0.4847275472882204,40.83275151550283,8.59636874010586,0.1276688426748395,5400330.703298969,16884.82762886598
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN,48.0540690535899,1612.0,1515.0,3.0,352.0,309.0,1041.0,262.0,0.21836228287841192,0.8943430800299772,3648.757731958763,16529.0,2.0,6.0,675.0,1082.0,5029.0,8107.0,21717.0,24230.0,2146.0,32137.0,100097.0,45010.0,75.0,6786.0,54054.0,0.4017649017649017,0.14997964997965,0.4482554482554483,33.545546334532,7.325082078011949,0.12485935360247641,5881797.463917526,21892.546391752578
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN,39.43156391336419,3604.0,3120.0,3.0,964.0,495.0,2355.0,754.0,0.26748057713651496,0.878001884782482,9396.0428116136,50827.0,12.0,19.0,,,,,,,,,,,,,,,,,91.39886026124692,24.44741989229801,0.48184748750379897,33863338.293055415,178524.8134206584
MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN,43.102545019266046,1514.0,1378.0,3.0,400.0,253.0,956.0,305.0,0.26420079260237783,0.9120486127355296,6113.796886597938,28056.0,5.0,4.0,385.0,203.0,1346.0,4353.0,12815.0,24098.0,1318.0,22156.0,106171.0,39824.0,80.0,1934.0,41266.0,0.310546212378229,0.1054863568070566,0.5839674308147143,35.12553607503385,9.280194471607357,0.09280194471607357,9256288.486309279,24455.187546391753
MN07 Upper West Side (CD 7 Approximation),MN07,MANHATTAN,54.4085065871081,1010.0,934.0,3.0,319.0,209.0,589.0,212.0,0.31584158415841584,0.9681638563086747,3781.18793814433,11244.0,2.0,8.0,100.0,39.0,132.0,11188.0,27881.0,17822.0,565.0,6406.0,104638.0,68665.0,75.0,271.0,56891.0,0.4900775166546554,0.1966567646903728,0.3132657186549717,18.56327371130815,5.863053776145841,0.1470358313766982,3818999.8175257733,30249.50350515464
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN,55.211272535203484,1259.0,1166.0,3.0,378.0,269.0,723.0,267.0,0.30023828435266087,0.9771694434752065,2099.8936170212764,7220.0,1.0,9.0,129.0,55.0,229.0,6215.0,19962.0,21901.0,698.0,8896.0,109111.0,68537.0,80.0,413.0,48078.0,0.4152002995132909,0.129269104372062,0.455530596114647,22.803314290523623,6.846427960141326,0.16301018952717442,2643766.063829787,18899.042553191488
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,MANHATTAN,42.64119368803704,443.0,428.0,3.0,152.0,79.0,247.0,117.0,0.3431151241534989,0.984812095410051,2913.264425594739,9538.568181818182,0.0,6.0,67.0,11.0,25.0,27583.0,49179.0,10550.0,224.0,1962.0,45765.0,40191.0,46.0,103.0,87312.0,0.5632559098405717,0.3159130474619754,0.1208310426974528,10.38901498023221,3.5646281647749345,0.14070900650427373,0.0,0.0
MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN,38.219261495538056,409.0,389.0,3.0,214.0,53.0,193.0,163.0,0.5232273838630807,0.9858277217924163,4945.84,9667.0,1.0,8.0,38.0,11.0,9.0,78162.0,32136.0,4440.0,161.0,1270.0,40816.0,44546.0,35.0,58.0,114738.0,0.2800815771583956,0.6812215656539246,0.0386968571876797,10.701410335930984,5.5992709337145,0.20931853957811214,2022848.56,39566.72
MN11 East Harlem (CD 11 Equivalent),MN11,MANHATTAN,66.23981756498945,590.0,562.0,3.0,258.0,109.0,273.0,208.0,0.43728813559322033,1.0361384016008757,2913.264425594739,9538.568181818182,0.0,5.0,73.0,20.0,25.0,36283.0,55468.0,9618.0,240.0,1721.0,31628.0,33608.0,32.0,118.0,101369.0,0.5471889828251241,0.3579299391332656,0.0948810780416103,8.907029362228196,3.894938263482838,0.07548329967989996,0.0,0.0
MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN,77.99710671411081,819.0,778.0,3.0,330.0,110.0,444.0,265.0,0.40293040293040294,0.9666587482689148,4115.82,8747.0,1.0,12.0,60.0,22.0,48.0,16969.0,153399.0,5864.0,334.0,3049.0,43307.0,66869.0,32.0,130.0,176232.0,0.8704378319487948,0.0962878478369422,0.033274320214263,10.500389495240482,4.230926170243418,0.15385186073612428,3370856.5799999996,49389.84
MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN,38.31240749863945,9.0,9.0,2.0,0.0,1.0,8.0,0.0,0.0,0.34883209584303193,2913.264425594739,9538.568181818182,0.0,6.0,,,,,,,,,,,,,,,,,0.23491084449129457,0.0,0.15660722966086305,0.0,0.0
QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS,173.9688299971949,873.0,822.0,2.0,0.0,215.0,658.0,0.0,0.0,0.5582081550841541,3543.8917525773195,12100.0,2.0,11.0,665.0,96.0,193.0,11042.0,46914.0,27301.0,537.0,4187.0,56201.0,63931.0,44.0,954.0,85257.0,0.5502656673352335,0.1295142920815886,0.3202200405831779,5.01814031866557,0.0,0.06322971764641612,3093817.5,38982.80927835051
QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS,131.3224240899467,635.0,608.0,2.0,0.0,167.0,468.0,0.0,0.0,0.5761633781634683,761.0824742268042,2579.0,1.0,14.0,701.0,390.0,536.0,1959.0,46126.0,48756.0,520.0,5479.0,60154.0,50299.0,38.0,1627.0,96841.0,0.4763065230635784,0.0202290352226846,0.5034644417137369,4.835427036932163,0.0,0.10660784018433117,483287.3711340206,10655.154639175258
QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS,82.04172456180268,487.0,459.0,2.0,0.0,96.0,391.0,0.0,0.0,0.4963912640780923,4026.075,14738.0,2.0,3.0,245.0,37.0,73.0,8778.0,120456.0,31236.0,326.0,2567.0,51083.0,55330.0,20.0,355.0,160470.0,0.7506449803701627,0.0547018134230697,0.1946532062067676,5.936003937034978,0.0,0.03656675936571855,1960698.525,12078.224999999999
QN04 Elmhurst-Corona (CD 4 Approximation),QN04,QUEENS,66.12789202696413,495.0,468.0,2.0,0.0,135.0,360.0,0.0,0.0,0.5859526183035508,1634.7113402061857,4470.0,1.0,7.0,291.0,82.0,142.0,11135.0,72194.0,47214.0,391.0,3174.0,44865.0,43392.0,22.0,515.0,130543.0,0.5530285040178332,0.0852975647870816,0.3616739311950851,7.485494922447552,0.0,0.10585548375178357,809182.1134020619,11442.9793814433
QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS,218.95296280217207,483.0,467.0,2.0,0.0,151.0,332.0,0.0,0.0,0.6211883616456829,1729.764914089347,6221.0,3.0,5.0,910.0,182.0,412.0,2672.0,62350.0,14652.0,338.0,4033.0,62873.0,44078.0,25.0,1504.0,79674.0,0.7825639480884605,0.0335366618972312,0.1838993900143083,2.2059532504997392,0.0,0.022835954974117386,835476.4535051546,8648.824570446735
QN06 Forest Hills-Rego Park (CD 6 Approximation),QN06,QUEENS,78.14793392008568,308.0,296.0,2.0,0.0,77.0,231.0,0.0,0.0,0.5623351446188083,1664.9529896907216,5835.0,2.0,4.0,132.0,26.0,155.0,3331.0,18004.0,31135.0,268.0,3338.0,67596.0,31829.0,55.0,313.0,52470.0,0.3431294072803507,0.0634838955593672,0.593386697160282,3.9412430316451075,0.0,0.05118497443694945,512805.5208247422,6659.811958762886
QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS,329.71500934135645,1081.0,1029.0,2.0,0.0,451.0,630.0,0.0,0.0,0.6793742354665696,3860.8096960910652,15500.0,4.0,1.0,1034.0,186.0,838.0,5652.0,43960.0,129327.0,886.0,9457.0,52722.0,40332.0,27.0,2058.0,178939.0,0.2456703122293072,0.0315861830009109,0.7227435047697819,3.2785889916246806,0.0,0.0030329222864243113,4173535.2814744413,3860.8096960910652
QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),QN08,QUEENS,202.0442210417121,249.0,236.0,2.0,0.0,52.0,197.0,0.0,0.0,0.5124094911329086,1932.54,4635.0,1.0,0.0,268.0,31.0,186.0,18593.0,30242.0,54847.0,309.0,3336.0,62679.0,32660.0,41.0,485.0,103682.0,0.2916803302405432,0.1793271734727339,0.5289924962867228,1.232403474428471,0.0,0.0,481202.45999999996,0.0
QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS,108.21860788619301,298.0,284.0,2.0,0.0,82.0,216.0,0.0,0.0,0.5883313578629602,1753.463917525773,9070.0,2.0,8.0,275.0,49.0,93.0,9132.0,64747.0,41175.0,204.0,2239.0,62333.0,37559.0,26.0,417.0,115054.0,0.5627531420028856,0.0793714255914614,0.357875432405653,2.7536853949681985,0.0,0.07392444013337446,522532.2474226804,14027.711340206184
QN10 South Ozone Park-Howard Beach (CD 10 Approximation),QN10,QUEENS,171.39751616120319,300.0,283.0,2.0,0.0,61.0,239.0,0.0,0.0,0.504988825902191,2913.264425594739,9538.568181818182,0.0,8.0,363.0,33.0,92.0,20832.0,35233.0,29287.0,244.0,2537.0,65373.0,26293.0,21.0,488.0,85352.0,0.4127964195332271,0.2440716093354578,0.343131971131315,1.7503170799619017,0.0,0.04667512213231738,0.0,0.0
QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),QN11,QUEENS,259.79074110950665,355.0,342.0,2.0,0.0,115.0,240.0,0.0,0.0,0.629806419436397,1164.0618556701031,2607.0,1.0,0.0,258.0,25.0,186.0,2036.0,14145.0,51250.0,232.0,2488.0,78520.0,17034.0,44.0,469.0,67431.0,0.2097699870979223,0.0301938277646779,0.7600361851373997,1.3664844192825212,0.0,0.0,413241.9587628866,0.0
QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS,265.8540962007011,485.0,428.0,2.0,0.0,88.0,397.0,0.0,0.0,0.473574987624294,2223.8861649484534,13426.0,5.0,6.0,270.0,67.0,159.0,148776.0,40599.0,27856.0,261.0,3099.0,55203.0,51729.0,21.0,496.0,217231.0,0.1868932150567828,0.6848746265496177,0.1282321583935994,1.8243089233195757,0.0,0.022568770185396814,1078584.7899999998,13343.31698969072
