neighborhood,cd,borough,area_km2,total_poi,unique_poi,category_diversity,num_retail,food,other,retail,ratio_retail,category_entropy,avg_pedestrian,peak_pedestrian,pedestrian_count_points,subway_station_count,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,total_jobs,total_population_proxy,pct_hispanic,pct_black,pct_asian,poi_density_per_km2,retail_density_per_km2,subway_density_per_km2,commercial_activity_score,transit_activity_score
BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN,101.05810045629008,299.0,292.0,2.0,1.0,102.0,197.0,0.0,0.0033444816053511705,0.6417868459111566,2913.264425594739,9538.568181818182,0.0,10.0,515.0,171.0,414.0,4002.0,18102.0,22821.0,241.0,4917.0,42864.0,25500.0,28.0,1100.0,44925.0,0.4029382303839733,0.0890818030050083,0.5079799666110184,2.958694044811621,0.009895297808734518,0.09895297808734518,0.0,0.0
BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,BROOKLYN,91.21129213389487,207.0,195.0,2.0,0.0,33.0,174.0,0.0,0.0,0.438707336300529,3918.39,7729.0,1.0,7.0,60.0,13.0,40.0,11850.0,16397.0,16547.0,55.0,735.0,34979.0,21310.0,36.0,113.0,44794.0,0.3660534893066036,0.2645443586194579,0.3694021520739384,2.269455844306333,0.0,0.07674488362388567,811106.73,27428.73
BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN,79.14734285150313,344.0,327.0,2.0,0.0,86.0,258.0,0.0,0.0,0.5623351446188083,2350.800412371134,5640.0,2.0,9.0,294.0,69.0,206.0,52055.0,24455.0,17290.0,308.0,4605.0,48169.0,41392.0,36.0,569.0,93800.0,0.2607142857142857,0.5549573560767591,0.1843283582089552,4.346324053422937,0.0,0.1137119665139722,808675.3418556701,21157.203711340204
BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),BK15,BROOKLYN,125.62961204112484,374.0,360.0,2.0,0.0,90.0,284.0,0.0,0.0,0.5518184873409855,2480.4109574468084,6054.0,2.0,5.0,344.0,66.0,240.0,5594.0,13760.0,24408.0,295.0,4893.0,54475.0,30435.0,40.0,650.0,43762.0,0.3144280425940313,0.1278277958045793,0.5577441616013893,2.977005133770302,0.0,0.03979953387393452,927673.6980851063,12402.054787234043
BK16 Ocean Hill-Brownsville (CD 16 Approximation),BK16,BROOKLYN,50.87566690519093,117.0,113.0,2.0,0.0,33.0,84.0,0.0,0.0,0.594880254188934,1853.01,4368.0,1.0,10.0,55.0,18.0,27.0,91864.0,25850.0,1721.0,146.0,1289.0,28315.0,28955.0,14.0,100.0,119435.0,0.2164357181730648,0.7691547703771926,0.0144095114497425,2.2997241533567454,0.0,0.19655761994502097,216802.17,18530.1
BK17 East Flatbush (CD 17 Approximation),BK17,BROOKLYN,93.76534136322051,288.0,267.0,2.0,0.0,48.0,240.0,0.0,0.0,0.45056120886630463,2774.278350515464,6095.0,1.0,3.0,50.0,20.0,44.0,121091.0,10216.0,1796.0,85.0,895.0,48094.0,38551.0,22.0,114.0,133103.0,0.0767525900993967,0.9097541002081097,0.0134933096924937,3.0714973764599134,0.0,0.0319947643381241,798992.1649484537,8322.835051546392
BK18 Canarsie-Flatlands (CD 18 Approximation),BK18,BROOKLYN,249.3933897154842,293.0,268.0,2.0,0.0,74.0,219.0,0.0,0.0,0.565129859095831,999.9381443298968,2698.0,1.0,1.0,278.0,63.0,142.0,131897.0,16796.0,9077.0,216.0,2808.0,68145.0,44250.0,30.0,483.0,157770.0,0.1064587690942511,0.8360081130759967,0.0575331178297521,1.1748507060843256,0.0,0.004009729372301453,292981.87628865975,999.9381443298968
BK55 Prospect Park (JIA 55 Approximation),BK55,BROOKLYN,27.32796361068839,9.0,9.0,2.0,0.0,1.0,8.0,0.0,0.0,0.34883209584303193,1868.7474747474748,4699.0,1.0,1.0,,,,,,,,,,,,,,,,,0.32933299122514786,0.0,0.036592554580571986,16818.727272727272,1868.7474747474748
BK56 Jamaica Bay (West) (JIA 56 Approximation),BK56,BROOKLYN,112.71425752007835,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,-0.0,2913.264425594739,9538.568181818182,0.0,0.0,,,,,,,,,,,,,,,,,0.01774398415962355,0.0,0.0,0.0,0.0
BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),BX01,BRONX,58.24650803546122,235.0,216.0,2.0,1.0,82.0,153.0,0.0,0.00425531914893617,0.6467855981921956,4482.25,9285.0,1.0,9.0,211.0,147.0,355.0,45470.0,110055.0,1447.0,304.0,3536.0,23131.0,34546.0,10.0,713.0,156972.0,0.701112300282853,0.2896694951965955,0.0092182045205514,4.034576628300687,0.017168411184258242,0.15451570065832418,1053328.75,40340.25
BX02 Longwood-Hunts Point (CD 2 Approximation),BX02,BRONX,61.35434291978219,119.0,114.0,2.0,0.0,39.0,80.0,0.0,0.0,0.6325601740109685,2913.264425594739,9538.568181818182,0.0,6.0,,,,,,,,,,,,,,,,,1.9395530020684386,0.0,0.09779258833958514,0.0,0.0
