borough,latitude,longitude,avg_pedestrian,peak_pedestrian
BRONX,40.87919896648574,-73.90459140730678,2298.6666666666665,4097.0
BRONX,40.82662794123292,-73.92188432870218,2852.8333333333335,4685.0
BRONX,40.86215460031517,-73.89535781584335,4156.666666666667,7125.0
BRONX,40.8812869959873,-73.87892467324478,1608.1666666666667,2474.0
BRONX,40.844636776717664,-73.88956389732787,1418.3333333333333,2329.0
BRONX,40.83015855511035,-73.92087824799184,864.3333333333334,1403.0
BRONX,40.81688745834867,-73.91635737290386,3419.5,6293.0
BRONX,40.85558871971955,-73.86767352599497,2400.3333333333335,4040.0
BROOKLYN,40.64426682358741,-74.01119296689038,2978.5,4990.0
BROOKLYN,40.676093537146265,-73.98067647018506,1618.0,2360.0
BROOKLYN,40.66717415129596,-73.98134205800814,2851.3333333333335,3935.0
BROOKLYN,40.622138829200395,-74.02728680504437,3086.0,6004.0
BROOKLYN,40.68884781602201,-73.98983165443038,1408.6666666666667,2269.0
BROOKLYN,40.71755737770773,-73.95802234844946,3360.1666666666665,4835.0
BROOKLYN,40.57732714149917,-73.96276340616195,3466.0,5523.0
BROOKLYN,40.650831467717424,-73.94908133692475,2170.8333333333335,3390.0
BROOKLYN,40.64062739307868,-73.96573732115321,2030.0,3088.0
BROOKLYN,40.68942537824676,-73.99249336775775,3024.0,5085.0
BROOKLYN,40.67292523719001,-73.96818725047231,2146.3333333333335,3678.0
BROOKLYN,40.6089208214552,-73.9214952312361,480.6666666666667,736.0
BROOKLYN,40.650810536749546,-73.95882184227794,2038.1666666666667,3275.0
BROOKLYN,40.67918699313476,-73.97390965382397,1608.5,2376.0
BROOKLYN,40.69087186438648,-73.98588670734839,4435.833333333333,7943.0
BROOKLYN,40.703408264633794,-73.94255463338305,1471.3333333333333,2194.0
BROOKLYN,40.71156922033028,-73.9446668043415,905.1666666666666,1470.0
BROOKLYN,40.608201460936,-73.95959352755617,3085.5,5262.0
BROOKLYN,40.69453486150852,-73.99336426671383,2355.1666666666665,3162.0
BROOKLYN,40.693114646759874,-73.96931991427776,1537.1666666666667,2418.0
BROOKLYN,40.70274648278773,-73.9939968076081,1463.0,3048.0
BROOKLYN,40.669334561930114,-73.91307856842978,1222.6666666666667,2343.0
BROOKLYN,40.58754340485192,-73.95475091689498,1669.6666666666667,2589.0
BROOKLYN,40.67546559688342,-74.01511472616954,419.6666666666667,649.0
BROOKLYN,40.70286152715002,-73.98960330219742,3036.1666666666665,4684.0
MANHATTAN,40.70463665187375,-74.01155687409947,2897.6666666666665,4775.0
MANHATTAN,40.70634164448271,-74.01286204592034,5938.5,9071.0
MANHATTAN,40.7718134030119,-73.98219706247882,3230.1666666666665,5566.0
MANHATTAN,40.71590455900424,-74.01009312926121,3287.0,4939.0
MANHATTAN,40.77968082763136,-73.97713579908014,2833.3333333333335,4031.0
MANHATTAN,40.718989359353586,-73.98936305063111,2734.0,4381.0
