business_name,category,borough,latitude,longitude,poi_type,description
HAWA SMOOTHIE,"juice, smoothies, fruit salads",MANHATTAN,40.74491376432,-73.97826359712,restaurant,"juice, smoothies, fruit salads restaurant in MANHATTAN"
BAYA BAR,"juice, smoothies, fruit salads",QUEENS,40.65026266296,-73.83767934673,restaurant,"juice, smoothies, fruit salads restaurant in QUEENS"
THE CORNER BAR,american,QUEENS,40.74689470803,-73.89642507275,restaurant,american restaurant in QUEENS
U.S KENNEDY FRIED CHICKEN,chicken,BRONX,40.84611981601,-73.92001306207,restaurant,chicken restaurant in BRONX
8-BIT BITES,american,MANHATTAN,40.72647873558,-73.98921599442,restaurant,american restaurant in MANHATTAN
SHAMROCK INN,irish,BRONX,40.84589242416,-73.83153998176,restaurant,irish restaurant in BRONX
YUAN BAO 50,chinese,BROOKLYN,40.64149274663,-74.00332222837,restaurant,chinese restaurant in BROOKLYN
SY CUISINE CATERING,jewish/kosher,BROOKLYN,40.60452194341,-73.96935669476,restaurant,jewish/kosher restaurant in BROOKLYN
MASALA GRILL,indian,BROOKLYN,40.68555044245,-73.98127573231,restaurant,indian restaurant in BROOKLYN
MADAME BONTE,coffee/tea,MANHATTAN,40.7833662001,-73.94770922379,restaurant,coffee/tea restaurant in MANHATTAN
MAKAYA BISTRO,creole,QUEENS,40.69177143537,-73.76191635597,restaurant,creole restaurant in QUEENS
BAGEL MARKET,american,MANHATTAN,40.75241734621,-73.97531955335,restaurant,american restaurant in MANHATTAN
BUNNY DELI,sandwiches,MANHATTAN,40.85252513592,-73.93137014203,restaurant,sandwiches restaurant in MANHATTAN
MAISON MAY,new french,BROOKLYN,40.68946191907,-73.96933914386,restaurant,new french restaurant in BROOKLYN
AMORE PIZZA CAFFE,pizza,MANHATTAN,40.76831935253,-73.98459900246,restaurant,pizza restaurant in MANHATTAN
LUCKY DOG,american,BROOKLYN,40.71354779857,-73.96188637811,restaurant,american restaurant in BROOKLYN
JADE BAKERY,chinese,BROOKLYN,40.6341719413,-74.01091314705,restaurant,chinese restaurant in BROOKLYN
GYRO HUT,middle eastern,BROOKLYN,40.63223256216,-73.9667463153,restaurant,middle eastern restaurant in BROOKLYN
CASA BELLA,italian,MANHATTAN,40.71799515067,-73.99803755456,restaurant,italian restaurant in MANHATTAN
LE CHARLOT,french,MANHATTAN,40.7697510383,-73.96661601024,restaurant,french restaurant in MANHATTAN
STARZ BANQUET HALL,caribbean,QUEENS,40.67541621835,-73.73842980289,restaurant,caribbean restaurant in QUEENS
NICOLA'S,italian,MANHATTAN,40.77799000975,-73.95613000297,restaurant,italian restaurant in MANHATTAN
GYRO CAFE,pakistani,BROOKLYN,40.64321257564,-73.96994782855,restaurant,pakistani restaurant in BROOKLYN
NA TART,chinese,QUEENS,40.7600523645,-73.83484785189,restaurant,chinese restaurant in QUEENS
SATURN ROAD LLC,coffee/tea,BROOKLYN,40.68466803612,-73.99479347522,restaurant,coffee/tea restaurant in BROOKLYN
RED ROOSTER HARLEM / GINNY'S SUPPER CLUB,american,MANHATTAN,40.80815834801,-73.94518631756,restaurant,american restaurant in MANHATTAN
INDAY,indian,MANHATTAN,40.74164103695,-73.99191646337,restaurant,indian restaurant in MANHATTAN
CAFECITO,coffee/tea,MANHATTAN,40.71849728464,-73.99365807872,restaurant,coffee/tea restaurant in MANHATTAN
POTBELLY SANDWICH SHOP,american,MANHATTAN,40.74762194852,-73.99305980274,restaurant,american restaurant in MANHATTAN
SAMUELS TOP RANKING FISH SHOP,caribbean,BROOKLYN,40.65096348994,-73.94643314257,restaurant,caribbean restaurant in BROOKLYN
KRUNCHY CUERITOS,latin american,MANHATTAN,40.86109916537,-73.92611556128,restaurant,latin american restaurant in MANHATTAN
"EAHG NOMAD TRS, LLC",unknown,MANHATTAN,40.745757405,-73.9844021373,restaurant,unknown restaurant in MANHATTAN
TEA CUP CAFE,thai,QUEENS,40.74344818707,-73.88859930617,restaurant,thai restaurant in QUEENS
ZEE BAGELS,bagels/pretzels,BROOKLYN,40.6002358062,-73.94366517825,restaurant,bagels/pretzels restaurant in BROOKLYN
JUICY KING CRAB EXPRESS,seafood,BROOKLYN,40.6478652721,-73.89263341923,restaurant,seafood restaurant in BROOKLYN
ANTOJITOS,spanish,STATEN ISLAND,40.62696152817,-74.07581095682,restaurant,spanish restaurant in STATEN ISLAND
NANA'S KITCHEN,mediterranean,BRONX,40.84921534609,-73.8549865836,restaurant,mediterranean restaurant in BRONX
DUNKIN,donuts,BROOKLYN,40.60485541111,-73.99868912695,restaurant,donuts restaurant in BROOKLYN
WHEN IN BANGKOK,thai,QUEENS,40.76237827369,-73.80413300592,restaurant,thai restaurant in QUEENS
KARAOKE BOHO,korean,MANHATTAN,40.72072018354,-73.9888886396,restaurant,korean restaurant in MANHATTAN
U ICHIMOKU RAMEN,japanese,BROOKLYN,40.61740004075,-73.91081498434,restaurant,japanese restaurant in BROOKLYN
TONYS PIZZA ON NOSTRAND,pizza,BROOKLYN,40.66882289848,-73.95060748382,restaurant,pizza restaurant in BROOKLYN
CLUB CUMMING,american,MANHATTAN,40.72529781159,-73.98353745658,restaurant,american restaurant in MANHATTAN
OLLIE'S CHINESE RESTAURANT,chinese,MANHATTAN,40.79931802735,-73.96843956218,restaurant,chinese restaurant in MANHATTAN
STARBUCKS COFFEE #823,coffee/tea,MANHATTAN,40.77340494187,-73.96001065848,restaurant,coffee/tea restaurant in MANHATTAN
EL VALLE RESTAURANT,latin american,BRONX,40.8160049723,-73.89651580213,restaurant,latin american restaurant in BRONX
PERSEPOLIS,mediterranean,MANHATTAN,40.76972339539,-73.9576987076,restaurant,mediterranean restaurant in MANHATTAN
FOREST HILLS SPA,american,QUEENS,40.73757481668,-73.85682545644,restaurant,american restaurant in QUEENS
PHO MAIDEN LANE,asian/asian fusion,MANHATTAN,40.70971103911,-74.00976771923,restaurant,asian/asian fusion restaurant in MANHATTAN
EL GAUCHITO II,brazilian,QUEENS,40.73884370528,-73.81010970003,restaurant,brazilian restaurant in QUEENS
PRONTO PIZZA,pizza,MANHATTAN,40.70993038399,-74.01223493837,restaurant,pizza restaurant in MANHATTAN
COMMONS CAFE,american,STATEN ISLAND,40.60371321298,-74.17927334242,restaurant,american restaurant in STATEN ISLAND
DELIGHT DONUT,american,QUEENS,40.7062038457,-73.89678429738,restaurant,american restaurant in QUEENS
"EVERYTHING YOGURT, GRETEL'S PRETZELS",frozen desserts,BROOKLYN,40.61106125404,-73.92053710129,restaurant,frozen desserts restaurant in BROOKLYN
THE HUMMUS & PITA CO.,mediterranean,MANHATTAN,40.77855982815,-73.9533638064,restaurant,mediterranean restaurant in MANHATTAN
ROSARIO PIZZA,pizza,BROOKLYN,40.69422661385,-73.91840734033,restaurant,pizza restaurant in BROOKLYN
JIMBO'S HAMBURGER PALACE,hamburgers,MANHATTAN,40.86217993557,-73.92510569029,restaurant,hamburgers restaurant in MANHATTAN
SILVER'S CRUST,caribbean,QUEENS,40.68047661545,-73.76322594088,restaurant,caribbean restaurant in QUEENS
PEKING TASTE,chinese,STATEN ISLAND,40.51812114247,-74.23449200482,restaurant,chinese restaurant in STATEN ISLAND
WING STOP,chicken,BROOKLYN,40.70863349659,-73.95853114859,restaurant,chicken restaurant in BROOKLYN
PANDA ABC,chinese,BROOKLYN,40.6419123371,-73.9329496509,restaurant,chinese restaurant in BROOKLYN
KOON TASTE OF SIAM,thai,MANHATTAN,40.7443695254,-73.99544921484,restaurant,thai restaurant in MANHATTAN
JOE COFFEE,coffee/tea,MANHATTAN,40.74670539352,-74.00182615253,restaurant,coffee/tea restaurant in MANHATTAN
BAYA BAR,"juice, smoothies, fruit salads",STATEN ISLAND,40.54478668522,-74.16554637372,restaurant,"juice, smoothies, fruit salads restaurant in STATEN ISLAND"
TIGER SUGAR,coffee/tea,BROOKLYN,40.60275281238,-73.99521762533,restaurant,coffee/tea restaurant in BROOKLYN
THE SOIREE,coffee/tea,MANHATTAN,40.76520442508,-73.98767544845,restaurant,coffee/tea restaurant in MANHATTAN
AUSTIN HOUSE,american,QUEENS,40.71921530055,-73.84236286601,restaurant,american restaurant in QUEENS
VOSTOCHNAYA KUHNYA,russian,BROOKLYN,40.57743149001,-73.96219473929,restaurant,russian restaurant in BROOKLYN
GOLDEN SANDS CAFE,bakery products/desserts,BROOKLYN,40.59927627525,-73.95221836158,restaurant,bakery products/desserts restaurant in BROOKLYN
PURA VIDA MIAMI,californian,MANHATTAN,40.74418792885,-73.9889460612,restaurant,californian restaurant in MANHATTAN
ROME TO BROOKLYN PIZZERIA,pizza,BROOKLYN,40.72290027802,-73.95030028076,restaurant,pizza restaurant in BROOKLYN
