latitude,longitude,avg_pedestrian,peak_pedestrian,neighborhood,cd,borough
40.71055376746076,-74.0084036486757,4691.85,10248.0,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
40.70806272095774,-74.00451806937401,3821.6145833333335,9604.0,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
40.761264607952285,-73.96888735867235,6359.89,21634.0,MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN
40.77144062263456,-73.96568512678532,2099.8936170212764,7220.0,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN
40.749996387066574,-73.99134284997088,14547.938775510203,50827.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.708351612740366,-74.01257537541983,3292.072164948453,14290.0,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
40.70733537559069,-74.01098647762808,6921.531914893617,15167.0,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
40.80842973710492,-73.94703781905247,4945.84,9667.0,MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN
40.740305392828965,-74.00384095197924,4568.540816326531,11953.0,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
40.84958094443508,-73.93434784508338,4115.82,8747.0,MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN
40.75045405486473,-73.98934552114228,15964.61,33102.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.752843606340384,-73.98335689692979,6676.55,20533.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.757338486389926,-73.98017962622333,5359.978260869565,14939.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.755190220332366,-73.96829307507049,3108.48,7314.0,MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN
40.75613758564416,-73.97053303866996,5539.39175257732,15473.0,MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN
40.756810835163854,-73.97213382742112,5941.422680412371,20071.0,MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN
40.75753624831215,-73.97385284104773,5430.92,18973.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.75817343083521,-73.97536263666144,4612.762886597938,11649.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.75885135958746,-73.97697246269053,11696.907216494845,28429.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.76021178450935,-73.98019868261785,10509.494845360823,31236.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.76140611887666,-73.98303507483828,7845.989583333333,21134.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.76174395517826,-73.98383919698608,7497.31,17338.0,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
40.76257065006476,-73.98589867014988,6788.855670103093,16529.0,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN
40.7673124325193,-73.99694382805035,508.659793814433,2519.0,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN
40.70653426935826,-73.79555468117455,2517.958762886598,7848.0,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS
40.74891155301485,-73.89225364571111,2881.29,5977.0,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS
40.74873155074409,-73.88412639509386,5170.86,14738.0,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS
40.72036574481484,-73.84534157919526,2796.04,5835.0,QN06 Forest Hills-Rego Park (CD 6 Approximation),QN06,QUEENS
40.76393342115404,-73.77114917957029,1164.0618556701031,2607.0,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),QN11,QUEENS
40.70287665998952,-73.89530306861195,570.3298969072165,1241.0,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS
40.71091966309366,-73.79247827489311,1932.54,4635.0,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),QN08,QUEENS
40.74817129070961,-73.93947115150922,761.0824742268042,2579.0,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS
40.70182238071845,-73.80593752065842,1888.9896907216496,3761.0,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS
40.70450555044364,-73.79726496612192,5081.07,13426.0,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS
40.6925963247586,-73.85779008961042,1423.618556701031,2486.0,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS
40.76118578331917,-73.8309343552709,5294.63,11109.0,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS
40.69769336243358,-73.78539020907581,125.98969072164948,387.0,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS
40.604023385262565,-73.75250126721374,1453.4639175257732,3664.0,QN14 The Rockaways (CD 14 Approximation),QN14,QUEENS
40.69967093544051,-73.91018834116497,2803.47,6221.0,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS
40.70048761323586,-73.90192709081789,1815.494845360825,5540.0,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS
40.76247070217481,-73.80439743099372,531.6288659793814,1330.0,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS
40.76053254069111,-73.83274555228842,1184.9278350515465,4599.0,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS
40.71371948716981,-73.82971390855914,2083.309278350516,9070.0,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS
40.73382228902959,-73.8713031803217,1634.7113402061857,4470.0,QN04 Elmhurst-Corona (CD 4 Approximation),QN04,QUEENS
40.75066362916971,-73.9399858877832,3873.061855670103,12100.0,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
40.76005352048369,-73.82818894237838,8432.052083333334,15500.0,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS
40.76015497952589,-73.91804029865675,3214.721649484536,6733.0,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
40.70340462655154,-73.8086047835953,1505.4226804123712,3385.0,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS
40.72272482164015,-73.84840699076847,533.8659793814433,1693.0,QN06 Forest Hills-Rego Park (CD 6 Approximation),QN06,QUEENS
40.63017169829432,-74.10857607699721,213.2474226804124,527.0,SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND
40.57107102644238,-74.1108725293572,507.2783505154639,909.0,SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND
40.64298352630176,-74.0752448014028,1083.16,2244.0,SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND
40.58813530683326,-74.16614928494091,149.8762886597938,358.0,SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND
40.63793280712071,-74.07740338696911,680.0309278350516,1586.0,SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND
