neighborhood,cd,borough,area_km2,avg_pedestrian,peak_pedestrian,pedestrian_count_points,subway_station_count,shooting_incident_count,storefront_filing_count,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,total_population_proxy,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,total_jobs,category_diversity,category_entropy,subway_density_per_km2,storefront_density_per_km2,commercial_activity_score,competitive_score,transit_activity_score
BK18 Canarsie-Flatlands (CD 18 Approximation),BK18,BROOKLYN,23.16940406047322,480.6666666666667,736.0,1.0,1.0,0,0,278.0,63.0,142.0,131897.0,16796.0,9077.0,157770.0,216.0,2808.0,68145.0,47.585761909882784,30.0,483.0,0,0.0,0.043160367758702536,0.0,0.0,0.0,6.177252311878423
BK55 Prospect Park (JIA 55 Approximation),BK55,BROOKLYN,2.538850896442328,2146.3333333333335,3678.0,1.0,1.0,0,0,245.5,67.5,154.0,30197.0,20966.5,10215.0,94759.5,293.0,2864.0,48131.5,63.70302974850394,29.5,521.5,0,0.0,0.39387897942383787,0.0,0.0,0.0,7.671982041223035
BK56 Jamaica Bay (West) (JIA 56 Approximation),BK56,BROOKLYN,10.47149717495814,2146.3333333333335,4835.0,0.0,0.0,0,0,245.5,67.5,154.0,30197.0,20966.5,10215.0,94759.5,293.0,2864.0,48131.5,63.70302974850394,29.5,521.5,0,0.0,0.0,0.0,0.0,0.0,0.0
BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),BX01,BRONX,5.411277665878775,3419.5,6293.0,1.0,9.0,0,0,211.0,147.0,355.0,45470.0,110055.0,1447.0,156972.0,304.0,3536.0,23131.0,67.01324901553801,10.0,713.0,0,0.0,1.663193159861337,0.0,0.0,0.0,10.334506690725945
BX02 Longwood-Hunts Point (CD 2 Approximation),BX02,BRONX,5.700004974450242,2298.6666666666665,4097.0,0.0,6.0,0,0,114.0,19.5,41.5,40637.0,90453.5,3694.5,132638.5,148.5,1580.0,34586.0,61.03986376183108,15.5,168.5,0,0.0,1.052630660305466,0.0,0.0,0.0,9.53191649607552
BX03 Morrisania-Crotona Park East (CD 3 Approximation),BX03,BRONX,4.285443415438784,2298.6666666666665,4097.0,0.0,2.0,0,0,68.0,17.0,39.0,51541.0,109141.0,1324.0,162006.0,112.0,1271.0,23710.0,62.15027426087556,12.0,124.0,0,0.0,0.4666961632942764,0.0,0.0,0.0,8.433449197983277
BX04 Highbridge-Concourse (CD 4 Approximation),BX04,BRONX,5.372822596615396,1858.5833333333335,4685.0,2.0,4.0,0,0,31.0,6.0,10.0,43801.0,90360.0,2429.0,136590.0,83.0,786.0,27102.0,67.29935648952625,15.0,47.0,0,0.0,0.7444876371908865,0.0,0.0,0.0,8.913998690886373
BX05 Morris Heights-Mount Hope (CD 5 Approximation),BX05,BRONX,3.688084073649588,4156.666666666667,7125.0,1.0,7.0,0,0,68.0,19.0,56.0,37473.0,94206.0,1908.0,133587.0,144.0,1585.0,24436.0,65.35902331771105,14.0,143.0,0,0.0,1.8980044544030867,0.0,0.0,0.0,10.278413266668673
BX06 Tremont-Belmont-West Farms (CD 6 Approximation),BX06,BRONX,4.080718124133182,1418.3333333333333,2329.0,1.0,3.0,0,0,114.0,19.5,41.5,40637.0,90453.5,3694.5,132638.5,148.5,1580.0,34586.0,61.03986376183108,15.5,168.5,0,0.0,0.7351647207039702,0.0,0.0,0.0,8.35608503102148
BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),BX07,BRONX,5.443417500764261,1608.1666666666667,2474.0,1.0,7.0,0,0,155.0,28.0,44.0,19946.0,90547.0,7995.0,118488.0,333.0,3069.0,32732.0,67.63367038543338,16.0,227.0,0,0.0,1.285956845863319,0.0,0.0,0.0,9.328849070201711
BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),BX08,BRONX,8.01434853089909,2298.6666666666665,4097.0,1.0,4.0,0,0,71.0,7.0,29.0,13643.0,52398.0,5882.0,71923.0,153.0,1575.0,58409.0,56.06795606795607,39.0,107.0,0,0.0,0.4991048223792758,0.0,0.0,0.0,9.126487637582207
BX09 Soundview-Parkchester (CD 9 Approximation),BX09,BRONX,10.44319478900078,2298.6666666666665,4097.0,0.0,4.0,0,0,141.0,20.0,68.0,55079.0,110649.0,13570.0,179298.0,233.0,2093.0,36440.0,59.929453262786595,14.0,229.0,0,0.0,0.38302455147278985,0.0,0.0,0.0,9.126487637582207
BX10 Co-op City-Throgs Neck (CD 10 Approximation),BX10,BRONX,16.060498688894537,2298.6666666666665,4097.0,0.0,6.0,0,0,236.0,36.0,81.0,34752.0,45500.0,3577.0,83829.0,260.0,2411.0,56627.0,43.94667493411874,25.0,353.0,0,0.0,0.3735874032447611,0.0,0.0,0.0,9.53191649607552
BX11 Pelham Parkway-Morris Park (CD 11 Approximation),BX11,BRONX,9.422339366300228,2400.3333333333335,4040.0,1.0,4.0,0,0,87.0,11.0,15.0,28076.0,60838.0,9779.0,98693.0,61.0,689.0,47655.0,51.825783331801894,22.0,113.0,0,0.0,0.4245230239006598,0.0,0.0,0.0,9.169761403478267
BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),BX12,BRONX,13.95137183653938,2298.6666666666665,4097.0,0.0,9.0,0,0,143.0,30.0,21.0,95164.0,32714.0,3812.0,131690.0,102.0,984.0,47168.0,49.82769270782535,23.0,194.0,0,0.0,0.6450978516986068,0.0,0.0,0.0,9.937357437043744
