neighborhood,cd,borough,storefront_filing_count,act_ACCOUNTING_SERVICES_storefront,act_BROADCASTING_TELECOMM_storefront,act_EDUCATIONAL_SERVICES_storefront,act_FINANCE_AND_INSURANCE_storefront,act_FOOD_SERVICES_storefront,act_HEALTH_CARE_OR_SOCIAL_ASSISTANCE_storefront,act_INFORMATION_SERVICES_storefront,act_LEGAL_SERVICES_storefront,act_MANUFACTURING_storefront,act_MOVIES_VIDEO_SOUND_storefront,act_NO_BUSINESS_ACTIVITY_IDENTIFIED_storefront,act_PUBLISHING_storefront,act_REAL_ESTATE_storefront,act_RETAIL_storefront,act_UNKNOWN_storefront,act_WHOLESALE_storefront,act_other_storefront
MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN,10459,33,41,1054,246,2152,545,11,136,56,11,125,255,399,3120,151,475,1649
MN07 Upper West Side (CD 7 Approximation),MN07,MANHATTAN,8129,11,17,1139,91,1378,463,11,64,43,18,78,302,320,2433,73,397,1291
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN,14130,18,14,1960,168,1927,821,29,89,106,25,88,499,672,4426,103,657,2528
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,MANHATTAN,3802,16,28,365,57,762,169,17,46,12,12,43,103,156,1023,30,285,678
MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN,4957,26,18,611,87,774,214,20,43,28,19,48,87,176,1590,38,344,834
MN11 East Harlem (CD 11 Equivalent),MN11,MANHATTAN,4988,31,13,560,58,849,213,20,30,29,23,79,107,220,1400,37,316,1003
MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN,10523,66,67,1236,198,1744,637,76,122,23,39,71,288,360,2999,66,667,1864
QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS,9880,119,69,866,217,1336,374,43,144,140,52,324,187,488,2293,52,776,2400
QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS,6375,67,47,588,109,1024,237,52,70,131,32,155,132,295,1332,34,534,1536
QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS,6749,58,34,940,136,875,373,36,101,32,37,173,202,244,1983,23,342,1160
QN04 Elmhurst-Corona (CD 4 Approximation),QN04,QUEENS,5626,42,30,784,104,840,345,22,94,43,19,140,192,230,1396,21,346,978
QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS,5933,62,81,553,111,644,270,13,100,121,18,265,124,339,1245,18,541,1428
QN06 Forest Hills-Rego Park (CD 6 Approximation),QN06,QUEENS,4624,22,8,486,131,719,371,22,104,27,17,61,219,242,1162,21,211,801
